Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",4,1,8,0.375,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
"#6 Jessica C.",3,2,6,0.167,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#11 Brooke N.",2,1,3,0.333,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#14 Ava S.",2,1,4,0.25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#22 Sierra P.",1,1,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#18 Caylee S.",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Toledo Women's Volleyball",12,6,25,0.24,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#10 Kayla O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#16 Sophie C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
