Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#6 Jessica C.",1,0,8,0.125,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#14 Ava S.",1,0,3,0.333,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#10 Kayla O.",0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#22 Sierra P.",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"#16 Sophie C.",4,1,7,0.429,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
"#3 Janelle G.",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Toledo Women's Volleyball",6,1,22,0.227,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#4 Olivia H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#18 Caylee S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
