Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",5,3,12,0.167,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
"#6 Jessica C.",1,0,2,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#14 Ava S.",3,0,6,0.5,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
"#10 Kayla O.",3,2,7,0.143,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#22 Sierra P.",1,0,4,0.25,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"Toledo Women's Volleyball",13,5,31,0.258,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#16 Sophie C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#18 Caylee S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
