Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",1,0,2,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#6 Jessica C.",1,0,2,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#11 Brooke N.",1,3,5,-0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,1
"#14 Ava S.",0,1,3,-0.333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1
"#10 Kayla O.",1,0,2,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#22 Sierra P.",1,0,2,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#16 Sophie C.",3,2,8,0.125,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#18 Caylee S.",0,1,4,-0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2
"Toledo Women's Volleyball",8,7,28,0.036,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
