Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",2,3,9,-0.111,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,3
"#6 Jessica C.",2,1,5,0.2,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
"#11 Brooke N.",1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#14 Ava S.",4,3,11,0.091,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#10 Kayla O.",3,0,5,0.6,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
"#22 Sierra P.",5,0,10,0.5,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
"#18 Caylee S.",1,0,3,0.333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"Toledo Women's Volleyball",18,7,44,0.25,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#16 Sophie C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
