Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#6 Jessica C.",2,1,7,0.143,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
"#11 Brooke N.",3,0,4,0.75,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
"#14 Ava S.",4,0,6,0.667,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2
"#10 Kayla O.",3,1,5,0.4,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
"#22 Sierra P.",1,2,5,-0.2,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2
"#16 Sophie C.",5,1,7,0.571,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2
"#18 Caylee S.",1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"#21 Meg J.",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Toledo Women's Volleyball",19,5,36,0.389,4.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 Janelle G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#4 Olivia H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
