Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",7,5,18,0.111,2.333,0,,,,,,,,,,,,,,,0,1,0,,,,,"",2,1,2,0,0,0.667,4,3
"#6 Jessica C.",4,0,21,0.19,1.333,0,1,1,10,0.9,0,1.8,0,4,5,8,,17,0,1.765,0,3,0,,,,,"",5,1,,,,,4,3
"#14 Ava S.",7,1,15,0.4,2.333,0,,,,,,,,2,3,7,2,14,0,1.357,0,2,0,,,,,"",1,0,,,,,4,3
"#10 Kayla O.",4,2,15,0.133,1.333,0,1,0,2,1,0.5,0.5,0,,,1,,1,0,1,0,1,0,,,,1,"",,,2,0,0,0.667,5,3
"#22 Sierra P.",5,1,10,0.4,2.5,0,0,5,11,0.545,-0.455,2.364,0,,,,,,,,0,2,0,,,,1,"",3,1,2,0,0,1,1,2
"#16 Sophie C.",5,2,13,0.231,1.667,0,,,,,,,,,,,,,,,1,2,0,,,,,"",4,0,2,0,0,0.667,5,3
"#18 Caylee S.",0,1,2,-0.5,0,0,,,,,,,,,,,,,,,0,1,0,,,,,"",1,0,,,,,-1,1
"#3 Janelle G.",0,0,1,0,0,0,0,0,5,1,0,2,0,,,,,,,,6,22,0,4,4,4,4,1.5,7,1,,,,,0,2
"#12 Gabbi L.",1,0,1,1,0.5,0,0,0,8,1,0,2.125,0,,,,,,,,10,24,1,1,2,4,2,1.222,5,0,,,,,0,2
"#15 Maddy B.",,,,,,,2,0,10,1,0.2,1.7,0,,,,,,,,13,32,0,4,7,1,8,1.35,2,1,,,,,2,2
"#5 Sydney C.",,,,,,,0,1,3,0.667,-0.333,2.333,0,,1,,,1,0,2,,,,,,,,,2,1,,,,,-1,1
"#7 Avery A.",,,,,,,1,0,6,1,0.167,1.5,0,3,1,2,,6,0,2.167,1,4,0,,1,2,1,1,6,1,,,,,1,2
"#21 Meg J.",,,,,,,1,0,4,1,0.25,1.75,0,3,3,2,1,9,0,1.889,1,5,0,,,,4,"",4,0,,,,,0,2
"#1 Grace F.",,,,,,,0,2,8,0.75,-0.25,2.375,0,3,2,7,1,13,0,1.538,1,8,0,1,,2,3,0.833,8,2,,,,,-3,2
"Opponent",36,22,115,0.122,12,0,5,5,66,0.924,0,1.758,1,17,18,17,6,58,0,1.793,32,113,0,20,10,4,22,1.5,59,8,,,,,8,3
"Toledo Women's Volleyball",33,12,96,0.219,11,0,6,9,67,0.866,-0.045,1.955,0,15,15,27,4,61,0,1.672,33,107,1,10,14,13,24,1.164,50,9,8,0,0,2.667,21,3
