Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",8,5,24,0.125,2,0,,,,,,,,1,,1,1,3,0,1.333,0,2,1,,,,,"",2,1,0,2,0,0,2,4
"#6 Jessica C.",3,1,19,0.105,1,0,0,0,12,1,0,2.333,0,7,5,6,,18,0,2.056,0,1,0,,,,1,"",12,0,0,2,0,0,3,3
"#11 Brooke N.",4,3,10,0.1,4,0,,,,,,,,1,,1,2,4,0,1,,,,,,,,,,,,,,,-1,1
"#14 Ava S.",5,6,23,-0.043,1.667,0,0,1,3,0.667,-0.333,2.667,0,6,4,1,,11,0,2.455,0,1,0,,,,1,"",6,0,1,2,0,0.333,0,3
"#10 Kayla O.",7,1,18,0.333,2.333,0,0,0,2,1,0,3,0,,,,,,,,,,,,,,,,2,0,0,4,0,0,8,3
"#22 Sierra P.",5,1,24,0.167,1.667,0,1,0,7,1,0.143,1.857,0,1,,,,1,0,3,0,1,0,,,,1,"",3,0,0,3,0,0,6.5,3
"#16 Sophie C.",12,5,31,0.226,3,0,,,,,,,,,,,,,,,0,3,0,,,1,1,0.5,3,0,0,2,0,0,8,4
"#18 Caylee S.",1,1,7,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.5,2
"#3 Janelle G.",,,,,,,0,1,6,0.833,-0.167,2.5,0,,,2,,2,0,1,8,29,0,1,9,4,5,1.316,11,0,,,,,-1,2
"#12 Gabbi L.",0,0,1,0,0,0,1,3,9,0.667,-0.222,2.333,0,,,,,,,,9,31,0,4,4,1,6,1.4,4,0,,,,,-2,2
"#15 Maddy B.",1,0,1,1,0.333,0,1,0,17,1,0.059,2,0,,,,,,,,18,61,0,13,12,5,12,1.619,9,0,,,,,2,3
"#5 Sydney C.",,,,,,,1,2,9,0.778,-0.111,2.333,0,,,,,,,,0,1,0,,,,1,"",2,0,,,,,-1,2
"#7 Avery A.",,,,,,,1,1,19,0.947,0,2.263,0,6,3,3,2,14,0,1.929,6,13,0,1,1,2,8,0.583,17,0,,,,,-2,4
"#21 Meg J.",,,,,,,2,3,8,0.625,-0.125,2,0,2,,2,1,5,0,1.6,0,1,0,,,,1,"",6,0,,,,,-2,3
"#1 Grace F.",,,,,,,1,1,10,0.9,0,1.8,0,9,1,5,2,17,0,2,4,15,0,1,1,2,11,0.467,21,0,,,,,-2,3
"Opponent",42,36,169,0.036,10.5,0,9,11,87,0.874,-0.023,2.057,0,41,23,18,5,87,0,2.149,38,153,1,14,25,8,31,1.282,82,0,,,,,-2,4
"Toledo Women's Volleyball",46,23,158,0.146,11.5,0,8,12,102,0.882,-0.039,2.186,0,33,13,21,8,75,0,1.947,45,159,1,20,27,15,48,1.173,98,1,1,16,0,0.25,19,4
